id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,line,opening_year,operator,municipality,etymology_summary_es,named_after_es
ml_015,Somosaguas Centro,metro_ligero_station,ML2,,,40.4040,-3.7830,place,Named after central Somosaguas in Pozuelo de Alarcón. 'Somo' (Latin summum: summit) + 'aguas' (waters) describes elevated terrain with springs. The hamlet of San Juan de Somosaguas was depopulated during the 14th-century civil wars of Pedro I and Enrique II. From the mid-20th century the area became one of Madrid's most exclusive residential enclaves. On 1 Aug 1980 the Marquesses of Urquijo were murdered in their Somosaguas mansion -- a crime that remains one of Spain's great unsolved mysteries.,"Somosaguas (elevated terrain with springs, from Latin summum + aguas)",,,,,,,,,Toponomasticon Hispaniae (toponhisp.org -- Somosierra cognate lists Somosaguas); pozuelodealarcon.org/tu-ayuntamiento/tu-ciudad/acerca-de-pozuelo/historia; elcorreodepozuelo.com (ferruginous springs); es.wikipedia.org/wiki/Somosaguas,verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Toma su nombre del centro de Somosaguas, en Pozuelo de Alarcón. «Somo» (del latín summum: cumbre) + «aguas» describe un terreno elevado con manantiales. La aldea de San Juan de Somosaguas quedó despoblada durante las guerras civiles del siglo XIV entre Pedro I y Enrique II. Desde mediados del siglo XX la zona se convirtió en uno de los enclaves residenciales más exclusivos de Madrid. El 1 de agosto de 1980 los marqueses de Urquijo fueron asesinados en su mansión de Somosaguas, un crimen que sigue siendo uno de los grandes misterios sin resolver de España.","Somosaguas (terreno elevado con manantiales, del latín summum + aguas)"
ml_016,Pozuelo Oeste,metro_ligero_station,ML2,,,40.4090,-3.7870,place,"Named for western Pozuelo de Alarcón. 'Pozuelo' derives from Latin 'puteolus' (diminutive of puteus: well), referencing abundant wells and water mines. First documented in 1208 when Alfonso VIII delimited borders between Segovia, Toledo, and Madrid. Originally 'Pozuelo de Aravaca' until 1632, when Gabriel de Ocana y Alarcón purchased the lordship and required his surname be added. From the 19th century a summer retreat for Madrid's bourgeoisie, it became one of Spain's wealthiest commuter towns from the 1970s. The station sits near the luxury urbanization La Finca.",Pozuelo de Alarcón west (Latin puteolu: small well/spring),,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Pozuelo_Oeste;Ayto. Pozuelo de Alarcón (pozuelodealarcon.org),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Sirve la zona occidental de Pozuelo de Alarcón. «Pozuelo» deriva del latín «puteolus» (diminutivo de puteus: pozo), en referencia a sus abundantes pozos y minas de agua. Documentado por primera vez en 1208, cuando Alfonso VIII delimitó los límites entre Segovia, Toledo y Madrid. Originalmente se llamó «Pozuelo de Aravaca» hasta 1632, cuando Gabriel de Ocaña y Alarcón adquirió el señorío y exigió que se añadiera su apellido. Desde el siglo XIX lugar de veraneo de la burguesía madrileña, se convirtió a partir de los años 70 en uno de los municipios residenciales más ricos de España. La estación se encuentra cerca de la urbanización de lujo La Finca.",Pozuelo de Alarcón west (Latin puteolu: pequeño pozo/fuente)
ml_017,Bélgica,metro_ligero_station,ML2,,,40.4140,-3.7860,place,"Named after the Calle Belgica (Belgium). The street belongs to the Avenida de Europa zone in Pozuelo de Alarcón, where over thirty streets honour European nations and capitals: Francia and Paris, Alemania and Berlin, Inglaterra and Londres, Holanda and La Haya, Suiza and Berna, Austria and Viena, among others. The theme reflects the pro-European optimism of the 1980s-90s, when Spain had recently joined the EEC (1986) and Pozuelo was expanding rapidly. Nearby Calle Bruselas and Calle Estrasburgo nod to the seats of EU institutions.",Belgium,,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Belgica_(Metro_Ligero); Ayto. Pozuelo de Alarcón (Callejero por Zonas CSV),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Debe su nombre a la calle Bélgica. La calle pertenece a la zona de la Avenida de Europa en Pozuelo de Alarcón, donde más de treinta calles rinden homenaje a naciones y capitales europeas: Francia y París, Alemania y Berlín, Inglaterra y Londres, Holanda y La Haya, Suiza y Berna, Austria y Viena, entre otras. La temática refleja el optimismo europeísta de los años 80 y 90, cuando España acababa de ingresar en la CEE (1986) y Pozuelo se expandía con rapidez. Las cercanas calles Bruselas y Estrasburgo evocan las sedes de las instituciones de la UE.",Bélgica
ml_018,Dos Castillas,metro_ligero_station,ML2,,,40.4200,-3.7850,historical,"Named after the Via de las Dos Castillas street. 'Dos Castillas' (Two Castiles) refers to the historical kingdoms of Castilla la Vieja (Old Castile, now Castilla y Leon) and Castilla la Nueva (New Castile, now Castilla-La Mancha). The distinction dates to the 13th century when the Reconquista pushed southward past the Sierra de Guadarrama. Madrid sits precisely on the boundary -- originally part of New Castile's Toledo kingdom. The street name reflects Pozuelo de Alarcón's location within this Castilian heartland.",Calle Dos Castillas (Two Castiles: Castile and León + Castile-La Mancha),,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Dos_Castillas;Ayto. Pozuelo de Alarcón (pozuelodealarcon.org),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Recibe su nombre de la Vía de las Dos Castillas. «Dos Castillas» se refiere a los reinos históricos de Castilla la Vieja (hoy Castilla y León) y Castilla la Nueva (hoy Castilla-La Mancha). La distinción se remonta al siglo XIII, cuando la Reconquista avanzó hacia el sur más allá de la sierra de Guadarrama. Madrid se sitúa justo en el límite, perteneciendo originalmente al reino de Toledo, dentro de Castilla la Nueva. El nombre de la calle refleja la ubicación de Pozuelo de Alarcón en el corazón castellano.",Calle Dos Castillas (Dos Castillas: Castilla y León + Castilla-La Mancha)
ml_019,Campus de Somosaguas,metro_ligero_station,ML2,,,40.4240,-3.7820,place,"Named after the Complutense University campus built at Somosaguas in 1968 when the Franco regime deliberately relocated the combative Faculties of Economics and Political Sciences away from Ciudad Universitaria to isolate student anti-regime protests. 'Somosaguas' combines 'somo' (Latin 'summum': elevated ground) + 'aguas' (waters), describing hills with natural springs. The area historically had ferruginous mineral springs. The medieval hamlet of San Juan de Somosaguas was depopulated during the 14th-century wars between Pedro I and Enrique II.",Universidad Complutense de Madrid,Q219694,,,,,,,,es.wikipedia.org/wiki/Campus_de_Somosaguas; ucm.es,verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Lleva el nombre del campus que la Universidad Complutense construyó en Somosaguas en 1968, cuando el régimen franquista trasladó deliberadamente las combativas Facultades de Economía y Ciencias Políticas lejos de la Ciudad Universitaria para aislar las protestas estudiantiles contra el régimen. «Somosaguas» combina «somo» (del latín summum: terreno elevado) + «aguas», describiendo cerros con manantiales naturales. La zona contó históricamente con fuentes de aguas minerales ferruginosas. La aldea medieval de San Juan de Somosaguas quedó despoblada durante las guerras del siglo XIV entre Pedro I y Enrique II.",Universidad Complutense de Madrid
ml_020,Avenida de Europa,metro_ligero_station,ML2,,,40.4320,-3.7790,place,"Named after the Avenida de Europa (Avenue of Europe), the central boulevard of a zone in Pozuelo de Alarcón developed during the 1980s-90s residential boom that followed Spain's 1986 entry into the European Economic Community. The avenue lends its name to the surrounding neighbourhood, where more than thirty streets honour European countries and capitals from Andorra to Viena. Today it is one of Pozuelo's main commercial axes, lined with shops, restaurants, and a shopping centre.",Avenida de Europa (Pozuelo de Alarcón),,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Avenida_de_Europa;Ayto. Pozuelo (pozuelodealarcon.org),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Toma su nombre de la Avenida de Europa, el bulevar central de una zona de Pozuelo de Alarcón desarrollada durante el boom residencial de los años 80 y 90 que siguió al ingreso de España en la Comunidad Económica Europea en 1986. La avenida da nombre al barrio circundante, donde más de treinta calles honran a países y capitales europeos, de Andorra a Viena. Hoy es uno de los principales ejes comerciales de Pozuelo, flanqueado por tiendas, restaurantes y un centro comercial.",Avenida de Europa (Pozuelo de Alarcón)
ml_021,Berna,metro_ligero_station,ML2,,,40.4370,-3.7760,place,"Named after the Calle Berna (Bern), the Swiss federal capital. The street lies in the Avenida de Europa zone of Pozuelo de Alarcón, where over thirty streets carry a European geographic theme: Francia and Paris, Alemania and Berlin, Suiza and Berna, Inglaterra and Londres, Holanda and La Haya, plus Belgica, Dinamarca, Finlandia, Irlanda, Austria, Portugal, Grecia, and Monaco. The naming dates from the 1980s-90s expansion that transformed Pozuelo into one of Madrid's wealthiest suburbs. The pattern pairs each country with its capital, so Suiza and Berna sit side by side.",Bern,,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Berna_(Metro_Ligero);Ayto. Pozuelo de Alarcón (pozuelodealarcon.org),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Debe su nombre a la calle Berna, la capital federal suiza. La calle se encuentra en la zona de la Avenida de Europa de Pozuelo de Alarcón, donde más de treinta calles siguen una temática geográfica europea: Francia y París, Alemania y Berlín, Suiza y Berna, Inglaterra y Londres, Holanda y La Haya, además de Bélgica, Dinamarca, Finlandia, Irlanda, Austria, Portugal, Grecia y Mónaco. Los nombres datan de la expansión de los años 80 y 90 que transformó Pozuelo en uno de los municipios más prósperos de Madrid. El esquema empareja cada país con su capital, de modo que Suiza y Berna quedan una junto a otra.",Berna
ml_022,Estación de Aravaca,metro_ligero_station,ML2,Moncloa-Aravaca,,40.4412,-3.7710,place,"Terminal station connecting to Cercanias. Named after the Aravaca district, documented since 1222 when Alfonso VIII's fuero organised Madrid's hinterland into three sexmos (rural tax districts): Aravaca, Villaverde, and Vallecas. The Sexmo de Aravaca grouped Pozuelo, Las Rozas, Majadahonda, Boadilla, Alcorcón, Leganés, and Carabanchel. Joaquín Caridad Arias (Anales del Instituto de Estudios Madrilenos, 2004) proposed a Celtic origin, linking the name to the Arevacos tribe documented by Pliny, whose name derived from the river Areva. Annexed to Madrid in 1951.",Aravaca,,,,,,,,,"Joaquín Caridad Arias (Anales del Instituto de Estudios Madrilenos 44, 2004, pp. 821-830); es.wikipedia.org/wiki/Aravaca_(Madrid)",verified,ML2,2007,Metro Ligero Oeste,Madrid,"Estación terminal con correspondencia con Cercanías. Recibe su nombre del distrito de Aravaca, documentado desde 1222 cuando el fuero de Alfonso VIII organizó el alfoz de Madrid en tres sexmos (distritos fiscales rurales): Aravaca, Villaverde y Vallecas. El Sexmo de Aravaca agrupaba Pozuelo, Las Rozas, Majadahonda, Boadilla, Alcorcón, Leganés y Carabanchel. Joaquín Caridad Arias (Anales del Instituto de Estudios Madrileños, 2004) propuso un origen celta, vinculando el nombre a la tribu de los arévacos citada por Plinio, cuyo nombre derivaba del río Areva. Aravaca fue anexionada a Madrid en 1951.",Aravaca
ml_023,Ciudad de la Imagen,metro_ligero_station,ML3,,,40.3890,-3.7610,descriptive,"Named after the Ciudad de la Imagen (City of the Image) business park in Pozuelo de Alarcón, a complex specializing in audiovisual industries. Home to Telemadrid (the regional broadcaster), ECAM (Escuela de Cinematografia y del Audiovisual), the Filmoteca Espanola (national film archive), and dozens of production companies. The park was conceived in the early 1990s to create a Spanish 'media city' comparable to London's Soho or Hollywood's studio lots. Its proximity to the Ciudad del Cine (Kinepolis) and José Isbert stations creates a uniquely cinema-themed corridor on the ML3 line.",Ciudad de la Imagen (audiovisual business park in Pozuelo),,,,,,,,,es.wikipedia.org/wiki/Ciudad_de_la_Imagen;Ayto. Pozuelo (pozuelodealarcon.org),verified,ML3,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Lleva el nombre de la Ciudad de la Imagen, un parque empresarial de Pozuelo de Alarcón especializado en industrias audiovisuales. Alberga Telemadrid (la cadena autonómica), la ECAM (Escuela de Cinematografía y del Audiovisual), la Filmoteca Española (archivo fílmico nacional) y decenas de productoras. El parque fue concebido a principios de los 90 para crear una «media city» española comparable al Soho londinense o a los estudios de Hollywood. Su cercanía a las estaciones Ciudad del Cine (Kinépolis) y José Isbert crea un corredor de temática cinematográfica único en la línea ML3.",Ciudad de la Imagen (parque empresarial audiovisual en Pozuelo)
ml_024,José Isbert,metro_ligero_station,ML3,,,40.3920,-3.7640,person,"Named after José Ysbert Alvarruiz 'Pepe Isbert' (1886-1966), legendary Spanish actor whose diminutive frame and unmistakable husky voice made him the face of mid-century Spanish cinema. He starred in two masterpieces by director Luis García Berlanga: 'Bienvenido, Mister Marshall' (1953), in which he plays the endearingly deaf mayor of a small Castilian village preparing to impress visiting Americans, and 'El verdugo' (1963), a dark Berlanga-Azcona comedy about a reluctant executioner. Over decades he worked alongside Fernando Fernan Gómez, José Luis López Vázquez and directors like Edgar Neville and Ladislao Vajda. The station sits near the Filmoteca Naciónal in Ciudad de la Imagen.",José Isbert,Q965469,M,1886,1966,actor,Spanish,,,es.wikipedia.org/wiki/Jos%C3%A9_Isbert; imdb.com/name/nm0411120; en.wikipedia.org/wiki/Jos%C3%A9_Isbert; berlangafilmmuseum.com/en/writings/isberts-lesson,verified,ML3,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Toma su nombre de José Ysbert Alvarruiz «Pepe Isbert» (1886-1966), legendario actor español cuya menuda estatura y su inconfundible voz ronca lo convirtieron en el rostro del cine español de mediados de siglo. Protagonizó dos obras maestras del director Luis García Berlanga: «Bienvenido, Mister Marshall» (1953), donde interpreta al entrañable y algo sordo alcalde de un pueblecito castellano que se prepara para impresionar a unos visitantes americanos, y «El verdugo» (1963), una oscura comedia de Berlanga y Azcona sobre un verdugo a su pesar. A lo largo de décadas trabajó junto a Fernando Fernán Gómez, José Luis López Vázquez y directores como Edgar Neville y Ladislao Vajda. La estación se encuentra cerca de la Filmoteca Naciónal en la Ciudad de la Imagen.",José Isbert
