id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,line,opening_year,operator,municipality,etymology_summary_es,named_after_es
cercanias_020,Getafe Sector 3,cercanias_station,,,,40.288239,-3.73751,descriptive,"Named after the Sector III neighbourhood, a 1980s development of terraced houses built from scratch on the slopes of the Cerro Buenavista (704 m). When construction began in 1985, bulldozers nearly destroyed Spanish Civil War bunkers and fortifications from Madrid's defensive perimeter; the mayor ordered their preservation, and they remain protected today. Around 30,000 residents now live in this 'barrio de laboratorio' alongside wartime relics. The station opened in 1995.",Getafe Sector Tres (urban planning zone),,,,,,1995,,,es.wikipedia.org/wiki/Estacion_de_Getafe_Sector_3;CRTM (crtm.es),verified,C-4,1995,Renfe Cercanias,Getafe,"Toma su nombre del barrio Sector III, una urbanización de los años 80 formada por viviendas adosadas levantadas de nueva planta en las laderas del Cerro Buenavista (704 m). Cuando comenzaron las obras en 1985, las excavadoras estuvieron a punto de destruir búnkeres y fortificaciones de la Guerra Civil pertenecientes al perímetro defensivo de Madrid; el alcalde ordenó su conservación y hoy permanecen protegidos. Unas 30 000 personas viven actualmente en este 'barrio de laboratorio' junto a vestigios bélicos. La estación se abrió en 1995.",Getafe Sector Tres (zona de planificación urbanística)
cercanias_021,Las Margaritas Universidad,cercanias_station,,,,40.322959,-3.727309,descriptive,"'Las Margaritas' is a compact 1970s working-class neighbourhood in Getafe whose streets are all named after flowers -- Lilas, Loto, Camelias, Nardo, Alelí -- giving it a garden-catalogue feel on any city map. The neighbourhood's streetlamps are topped with daisy (margarita) motifs, a playful bit of municipal branding that makes the floral theme literal after dark. 'Universidad' was appended to the station name on 28 May 1995, when Universidad Carlos III de Madrid opened its Getafe campus nearby, transforming the area from a purely residential barrio into a university quarter with student residences and lecture halls.",Las Margaritas neighbourhood + Universidad Carlos III,,,,,,,,,es.wikipedia.org/wiki/Las_Margaritas_(Getafe); getafe.es/la-ciudad/poblacion/las-margaritas (flower-themed streets documented),verified,C-4,,Renfe Cercanias,Getafe,"Las Margaritas es un barrio obrero compacto de los años 70 en Getafe cuyas calles llevan nombres de flores —Lilas, Loto, Camelias, Nardo, Alelí—, lo que le confiere en el callejero el aire de un catálogo de jardinería. Las farolas del barrio están coronadas con motivos de margaritas, un guiño municipal que hace literal la temática floral al caer la noche. Se añadió 'Universidad' al nombre de la estación el 28 de mayo de 1995, cuando la Universidad Carlos III de Madrid inauguró su campus de Getafe, transformando un barrio puramente residencial en un polo universitario con residencias de estudiantes y aulas.",Las Margaritas barrio + Universidad Carlos III
cercanias_023,Pinto,cercanias_station,,,,40.242992,-3.703836,place,"Named after the municipality. García Sánchez (CVC Rinconete 2007) favours Latin 'pinctus' (painted/of a certain colour), an adjective describing terrain coloration where the original noun (mons, campus, etc.) was lost. The phonetic evolution pinctus > Pinto is regular (cf. sanctum > santo). The popular theory from Latin 'punctum' (point/crossing) is phonetically problematic: punctum should yield 'Punto', not 'Pinto'. A folk legend ('La Leyenda del Arca') claims Pinto marks the geographic centre of the Iberian Peninsula. The anthroponym Pintus (personal name) is also possible but unsubstantiated.","Pinto (from Latin pinctus: painted/coloured, per García Sánchez)",,,,,,,,,García Sánchez (CVC Rinconete 2007) (cvc.cervantes.es/el_rinconete);Ayto. Pinto (ayto-pinto.es);Wikipedia (es.wikipedia.org),verified,C-3,,Renfe Cercanias,Pinto,"Debe su nombre al municipio. García Sánchez (CVC Rinconete 2007) se inclina por el latín 'pinctus' (pintado/de determinado color), un adjetivo que describe la coloración del terreno cuyo sustantivo original (mons, campus, etc.) se perdió. La evolución fonética pinctus > Pinto es regular (cf. sanctum > santo). La teoría popular que lo hace derivar del latín 'punctum' (punto/cruce) presenta problemas fonéticos: punctum debería dar 'Punto', no 'Pinto'. Una leyenda popular ('La Leyenda del Arca') atribuye a Pinto la condición de centro geográfico de la Península Ibérica. El antropónimo Pintus (nombre de persona) también es posible, pero carece de documentación.","Pinto (del latín pinctus: painted/coloured, per García Sánchez)"
cercanias_024,Valdemoro,cercanias_station,,,,40.196028,-3.664702,place,"Named after the municipality. The Toponomasticon Hispaniae (Nieto Ballester, UAM) favours Latin VALLE + MAURA/MAURU meaning 'dark/dusky valley', describing dark terrain: Vallemoro > Valmoro > Valdemoro. Documented as 'Vallem Maurii' under Alfonso VIII. Alternative theories: (1) 'Valley of the Moor(s)' from Reconquista context; (2) Arabic 'Wadi al-murr' (bitter river); (3) 'valley of blackberries' (Latin morum); (4) personal name Maurus; (5) Latin *murus* (wall/ruin) indicating collapsed structures during repopulation (per Historia de Valdemoro blog); (6) 'val de moras' (mulberry valley, per Pancracio Celdran). García Sánchez discusses the name in CVC Rinconete Part IV (2008).","Valle moro (dark valley, per Toponomasticon Hispaniae)",,,,,,,,,Toponomasticon Hispaniae (toponhisp.org/es/toponimia-de-las-zonas-central-sur-e-insular-atlántica/toponimo/valdemoro); García Sánchez (CVC Rinconete 2008: cvc.cervantes.es/el_rinconete/anteriores/enero_08/28012008_01.htm); Galmes de Fuentes; historiadevaldemoro.blogspot.com/2016/10/toponimia.html; Alfonso X docs 1274; Primera Cronica c.1270-1290,uncertain,C-3,,Renfe Cercanias,Valdemoro,"Debe su nombre al municipio. El Toponomasticon Hispaniae (Nieto Ballester, UAM) se decanta por el latín VALLE + MAURA/MAURU, que significa 'valle oscuro/sombrío', en referencia al color del terreno: Vallemoro > Valmoro > Valdemoro. Documentado como 'Vallem Maurii' bajo Alfonso VIII. Teorías alternativas: (1) 'Valle del moro(s)', en contexto de Reconquista; (2) árabe 'Wadi al-murr' (río amargo); (3) 'valle de moras' (latín morum); (4) nombre personal Maurus; (5) latín *murus* (muro/ruina), en alusión a estructuras derrumbadas halladas durante la repoblación (según el blog Historia de Valdemoro); (6) 'val de moras' (valle del moral, según Pancracio Celdrán). García Sánchez trata el topónimo en CVC Rinconete, parte IV (2008).","Valle moro (valle oscuro, según Toponomasticon Hispaniae)"
cercanias_025,Ciempozuelos,cercanias_station,,,,40.159064,-3.610132,descriptive,"Named after the municipality. From 'cien pozuelos' (a hundred small wells), where 'cien' is not literal but means 'many'. A spring at Buzanca (c.2 km away) fed a canal to the town fountain, but since the flow was insufficient, numerous wells were dug to supplement the water supply. The many wells gave the town its name.",Ciempozuelos (cien pozuelos: many small wells),,,,,,,,,Toponomasticon Hispaniae (toponhisp.org/es/toponimia-de-las-zonas-central-sur-e-insular-atlántica/toponimo/ciempozuelos);Toponomasticon Hispaniae (toponhisp.org);Ayuntamiento de Ciempozuelos (ayto-ciempozuelos.org),verified,C-3,,Renfe Cercanias,Ciempozuelos,"Debe su nombre al municipio. Procede de 'cien pozuelos' (cien pequeños pozos), donde 'cien' no es literal sino sinónimo de 'muchos'. Un manantial en Buzanca (a unos 2 km) alimentaba un canal hasta la fuente del pueblo, pero como el caudal era insuficiente se excavaron numerosos pozos para complementar el abastecimiento. La profusión de pozos dio nombre a la localidad.",Ciempozuelos (cien pozuelos: muchos pequeños pozos)
cercanias_026,Aranjuez,cercanias_station,,,,40.034828,-3.618251,place,"Named after the royal town. Most accepted etymology: Basque origin from 'arantza' (thorn/hawthorn), per Rafael Lapesa. Medieval forms -- Aranz/Arauz (12th c.), Aranzuel (13th c.), Aranjuez (15th c.) -- show progressive suffixation consistent with a Basque base. Fray Martín Sarmiento (18th c.) proposed Latin 'Ara Jovis' (altar of Jupiter); Roman artifacts found in the area but no altar recovered. Terminus of Spain's first railway (1851).",Aranjuez (from Basque arantza: thorn/hawthorn),,,,,,,,,García Sánchez (CVC Rinconete Part I: cvc.cervantes.es/el_rinconete/anteriores/junio_07/06062007_01.htm); Rafael Lapesa; Fray Martín Sarmiento; es.wikipedia.org/wiki/Aranjuez_(Madrid);CVC Cervantes (cvc.cervantes.es),verified,C-3,1851,Renfe Cercanias,Aranjuez,"Debe su nombre al Real Sitio. La etimología más aceptada apunta a un origen vasco: 'arantza' (espino/espino albar), según Rafael Lapesa. Las formas medievales —Aranz/Arauz (s. XII), Aranzuel (s. XIII), Aranjuez (s. XV)— muestran una sufijación progresiva coherente con una base vasca. Fray Martín Sarmiento (s. XVIII) propuso el latín 'Ara Jovis' (altar de Júpiter); se han hallado restos romanos en la zona, pero ningún altar. Término del primer ferrocarril de España (1851).",Aranjuez (del vasco arantza: thorn/hawthorn)
cercanias_027,Parla,cercanias_station,,,,40.241046,-3.769358,place,"Named after the municipality. Most accepted theory (García Sánchez, CVC): derives from Roman anthroponym 'Parilus', designating the property owner's estate: Latin (villa) Parila > Parla. Alternative: Latin 'palus' (lagoon/swamp), proposed by Jiménez Gregorio, plausible given the sandy soil producing seasonal lagoons. The folk etymology about a mute woman who began to 'parlar' (speak) after drinking from a fountain is legend.","Parla (from Roman anthroponym Parilus, per García Sánchez)",,,,,,,,,García Sánchez (CVC Rinconete) (cvc.cervantes.es/el_rinconete); Fernando Jiménez Gregorio;Wikipedia (es.wikipedia.org),verified,C-4,,Renfe Cercanias,Parla,"Debe su nombre al municipio. La teoría más aceptada (García Sánchez, CVC) lo hace derivar del antropónimo romano 'Parilus', que designaba la finca de su propietario: latín (villa) Parila > Parla. Alternativa: latín 'palus' (laguna/pantano), propuesta por Jiménez Gregorio, plausible dada la naturaleza arenosa del suelo, que generaba lagunas estacionales. La etimología popular sobre una mujer muda que empezó a 'parlar' (hablar) tras beber de una fuente es pura leyenda.","Parla (del antropónimo romano Parilus, según García Sánchez)"
cercanias_029,Cantoblanco Universidad,cercanias_station,,Fuencarral-El Pardo,,40.543801,-3.70019,descriptive,"'Cantoblanco' likely means 'white rock/edge' (from 'canto' = stone/edge + 'blanco' = white), describing the pale limestone terrain. 'Universidad' refers to the Universidad Autonoma de Madrid (UAM), founded by Decree 5-1968 under Minister José Luis Villar Palasi to reform Spanish higher education. It opened on 24 October 1968 with 1173 students, 60 professors and five faculties. The Cantoblanco campus was inaugurated on 25 October 1971, designed by architect Miguel Duran-Loriga on a 2.2 km2 site 15 km north of Madrid, deliberately modelled on North American campus layouts. Today the UAM is consistently ranked among Spain's top universities.",Cantoblanco (white boulder) + Universidad Autónoma de Madrid,,,,,,,,,RAE (dle.rae.es/canto); es.wikipedia.org/wiki/Cantoblanco; uam.es; en.wikipedia.org/wiki/Autonomous_University_of_Madrid,verified,C-4;C-4a;C-4b,,Renfe Cercanias,Madrid,"'Cantoblanco' significa probablemente 'roca/borde blanco' (de 'canto' = piedra/borde + 'blanco' = blanco), en alusión al terreno calizo pálido. 'Universidad' se refiere a la Universidad Autónoma de Madrid (UAM), creada por Decreto 5-1968 bajo el ministro José Luis Villar Palasí para reformar la educación superior española. Abrió sus puertas el 24 de octubre de 1968 con 1173 alumnos, 60 profesores y cinco facultades. El campus de Cantoblanco se inauguró el 25 de octubre de 1971, diseñado por el arquitecto Miguel Durán-Lóriga sobre un terreno de 2,2 km² a 15 km al norte de Madrid, inspirado deliberadamente en los modelos de campus norteamericanos. Hoy la UAM figura de forma habitual entre las mejores universidades de España.",Cantoblanco (peñasco blanco) + Universidad Autónoma de Madrid
cercanias_030,Alcobendas-San Sebastián de los Reyes,cercanias_station,,,,40.5430,-3.6350,place,Alcobendas: Menéndez Pidal proposed pre-Roman 'Alcovindos' (hill); Villar Liebana suggests 'Alcebindos' (hill of the roe deer). First documented in the Fuero de Madrid (1202) as 'Alcovendas'. Alternatives: Arabic 'al-kubun' (dome/house) or hybrid 'al-' + 'so-' + 'Vendas' (beneath the inns). San Sebastián de los Reyes: named after the patron saint and the Catholic Monarchs (Reyes Católicos) who granted its charter.,Alcobendas (possibly pre-Roman: hill) + San Sebastián de los Reyes,,,,,,,,,Toponomasticon Hispaniae (toponhisp.org/es/toponimia-de-las-zonas-central-sur-e-insular-atlántica/toponimo/alcobendas); Menéndez Pidal; Villar Liebana;CVC Cervantes (cvc.cervantes.es); Moncloa.com;MadridNorte24h (madridnorte24horas.com),probable,C-4;C-4a,,Renfe Cercanias,Alcobendas/S.S. Reyes,"Alcobendas: Menéndez Pidal propuso el prerromano 'Alcovindos' (colina); Villar Liébana sugiere 'Alcebindos' (colina del corzo). Primera mención documentada en el Fuero de Madrid (1202) como 'Alcovendas'. Alternativas: árabe 'al-kubun' (cúpula/casa) o híbrido 'al-' + 'so-' + 'Vendas' (debajo de las ventas). San Sebastián de los Reyes: nombrado en honor al santo patrón y a los Reyes Católicos, que le otorgaron su carta de fundación.",Alcobendas (posiblemente prerromano: colina) + San Sebastián de los Reyes
cercanias_031,El Goloso,cercanias_station,,Fuencarral-El Pardo,,40.558469,-3.71383,place,"Named after the El Goloso area, a pre-existing rural toponym in Fuencarral. The military base (construction begun under Azana 1931-1933, inaugurated 1951) took its name from the area, not the other way around. The meaning of 'goloso' (greedy/fond of sweets) as a place-name is unexplained. One speculative theory relates the root 'gol' to a reddish terrain tone.",El Goloso (military base/area in Tres Cantos),,,,,,,,,es.wikipedia.org/wiki/El_Goloso; es.wikipedia.org/wiki/El_Goloso_(Madrid); eukele.com/gor-gol-gro-en-la-toponimia (speculative);Ministerio de Defensa (defensa.gob.es),probable,C-4;C-4b,,Renfe Cercanias,Madrid,"Toma su nombre de la zona de El Goloso, un topónimo rural preexistente en Fuencarral. La base militar (cuya construcción comenzó bajo Azaña entre 1931 y 1933 y fue inaugurada en 1951) adoptó el nombre de la zona, y no al revés. El significado de 'goloso' como topónimo no tiene explicación clara. Una hipótesis especulativa relaciona la raíz 'gol' con un tono rojizo del terreno.",El Goloso (base militar/zona en Tres Cantos)
